source,target
O cong ko mapatirengay  a dipi a fokeloh i lotok.,在山上有許多被立起來當避難用的石頭。
O mala'olalay ko wawa ita i niyaro'.,在部落裡我們的孩子是同學。
O fidadoki kira maeferay to dadayadaya.,每晚上飛的是蝙蝠。
Pahongko ci mama i fiyawan to panay.,爸爸在鄰居那風穀稻米。
Aanayaen ho ko nananamen ako to sowal no Pangcah.,我的阿美語還需加把勁努力才行。
Cirid saan koya wawa a miliyas to kapot nira a micodad.,那孩子偏離他的同學上學。
Ocong ko rawang no loma' ita i kakarayan.,我們在天堂有很多隔間的住處。
Mafafelin to kora dipot.,那個嬰孩會翻身了。
Padangen no finawlan kami a misademi' anini.,今天部落居民幫我們做廚房。
Aka kaapac a talapicodadan.,上學不可遲到。
O kokang ni kaka koni.,這是哥哥的竹琴。
O celedan no hafay ato falinono ko mapateliay i 'amanaw.,放在爐灶架上的是小米束和糯米束。
O marahemeday to ko kafang tonani pawalian to romi'ad.,白天曬了棉被所以很柔軟。
Mitanam a koma'en kako to papah no kakorot.,我嘗試吃苦瓜葉。
Pasafaken ko pipakaenan to kakiw i talokan.,在雞舍餵食鵝的盤子裡裝滿沒有米粒的空穀米。
Omela no mato'asay to silsilan a fana' a miwikwik.,老人家很珍
Naw^iro inain saan kiso a romakat?,你走路怎麼一瘸一拐地呢？
"Lepel han ko wikol no fafikfik, tangsol mapoton.",抓壁虎的尾巴立刻會斷掉。
Ciferangen ko tamdaw a micomod to loma' iso.,別人進到你的家都感到很熱。
O misacopoay ko tayal naira anini.,他們今天工作做堤防。
Pato'ayaen ci Wamaan ko faloco' no miso I kiwkay.,在教會將你的心獻祭給神。
Micohcoh to do'es nira ko ising i matini.,醫生現在在為他穿刺腰椎。
Tihtihen kora posak i fodoy no miso.,請抖落你衣服上的飯粒。
Mi'anang to fodoy ci ina.,媽媽收藏衣服。
Caay ho kaecak ko hemay.,飯還没熟。
Hepol hato ko tatiih no hanghang no miso.,就原諒你的好朋友的不是。
O ci'alemay kina fesol.,這個洞有穿山甲。
Awaay ko misafadisoso'ay i niyaro' no 'amis.,阿美族的部落沒有人種葡萄樹。
O marasmasay to ko romi'ad ita anini.,今天我們的天氣是毛毛雨的。
Moso' ko nialaan no miso a koli.,你賣的冰塊滴水了。
Naicowaay a 'oning kira i fodoyay no miso.,你衣服上的污垢是從那裡來的。
Maladi'i ko mararamoday a mafoti'.,夫妻同床而眠。
Maacang ko tayniay anini.,今天來的人都很享受快樂。
Papisetolen no singsi kami to fonak.,老師叫我們撞擊砂包。
Misahakhak ci ina.,媽媽做糯米飯。
Awai i 'orip no mako ko doit hananay a demak.,在我的生活裡從來沒有遲到這回事。
I pala ko paciciwan no niyam.,我們的小豬舍在田裡。
O tawal to no mako i tisowanan.,我真的是把你給忘了。
Cifalohang ko singsi milayap to coli no tawo.,老師有雅量接受人的謾罵。
Fawa han nora tamdaw ko 'inorong patala'afala ni Kacaw.,那個人扶持把重擔抬到Kacaw的肩上。
O maloneloneman ko lotok no Takoliyaw.,高寮的山上很多水鹿。
O tafiling a maemin ko omah no pangcah.,原住民的土地都是山坡地。
Kiso to ko mi'afalaay a mirayray to tayal no safasafa.,由你來肩負傳承教育晚輩的使命。
Rorongen ko eli' i lotok o sapisaloma' no mita.,請捆綁茅草用來蓋我們的房子。
Kalidkid ko nanom no ceporan to kaciferangan.,秀姑巒溪的水夏季時很湍急。
Talakawili ko rakat nira malasangay.,那酒醉的人走路偏向左邊。
Cedeten nora wawa ko fawo to fadisaw.,那小孩用開水燙昆蟲。
O mamicolo' to tipos kona tolako a tayni.,這部卡車來這裡是要運送稻穀的。
Fanohongay ko nisasirawan ni fayi.,阿嬤醃的豬肉很香。
Masapi'ay no faliyos ko lengac.,颱風將月桃樹吹倒。
Malaymay cira.,他很多嘴。
Do^do han ko rakat ako!,請跟從我的腳步！
Misafola cira to fafahi no tao.,他調戲別人的妻子。
O misa'acocol kami a mapolong yo kaemang ho.,我們小時候全部都會製作陀螺。
"'Icangen ko katol malafalako, nga'ayay sapisanga to koco.",生皮曬乾後，製成皮革可以做成皮鞋。
O malafongohay no niyaro' kita.,我們變成部落的智囊團。
Misafa^loh to lalan no silamalay.,更換新的鐵軌。
Awaay ko limaw no mako anini.,我今天没有時間。
Papica'oren no mako ci Mayaw to kalingad na Osay.,我叫Mayaw要及時趕上Osay她們出發的時間。
Mikodasing ko tayal niyam anini.,我們今天忙著採花生。
O dama ako ciira.,他是我的助手。
Mato kalatim ko kamay no kakawangay.,螳螂的手像剪刀。
Cecay safaw ko mami'.,有十一個橘子。
O nimetekan nira kora romadiway a tayal nano mamangan.,她從小就一心一意想當歌星。
Paor^or cira to widang a mitakaw.,他唆使朋友去偷東西。
Ditdit han niyam a komaen kira kasi.,那個糖果我們一點一點的吃。
Miesa'ay kako to dateng.,我正在燙青菜。
O efa ko hacikay to kolong.,馬跑得比牛還快。
"O faedetay konini a nanom sa kako, ceno' han to kamay ki^tecay aca.",我以為這水是熱的，用手探入水才知是冷的。
O kaacangan na Panay aci Foting anini.,今天是Panay和Foting的大喜之日。
Molofic ko heci no nanges.,芒果樹結實纍纍。
Paca'ca'en i potal malo kamaro'an no mita.,外面要鋪竹蓆當作我們的座位。
O marao'ay to niyam inacila itira.,昨天在那裡我已經採了無患子了。
Paleneken no mita I faloco ko tatiih no kalo tamdamdaw.,所有人的不對就掩埋在我們的心裡。
"Kiso a ina ko mi'asicay i takowanan, awaay ko sanay a wawa to ina nira.",沒有一個孩子會說是媽媽讓我成為不孕症的婦女。
Longecen nora wawa ko ina nira a micakay to taiyofan.,那小孩要求他的媽媽買吹泡泡玩具。
Paower kako to tikami anohoni.,等一會我出去寄信。
Sepat ko palapatan no cecay a miheca.,一年有四季。
O ecak to no panay i omah.,田裡的稻子即將成熟。
Ketonen no mako ko kaloca'aca'ang no kilang.,我要將所有的樹枝砍斷。
Tekol hato ko fafoy ni fayi iso.,要餵你嬸嬸的豬。
O macokeray no kapah ko tayal no niyaro'.,部落的工作被年青人支持的。
Ngalef sato ko adada nira faki i ising.,在醫院那位老人家的病加重了。
O lowan nimama ako to 'inorong nira a talalotok.,我的爸爸二話不說就背扛的重物減少重量去了山上。
Tosaay ko icifa i niyaro' niyam.,我們的部落裡有兩間巿場。
Madawa kami anini a mimali i picodadan.,今天在學校打球打輸了。
Mipacalay ko kapah no Pangcah i kaRiponan.,日本時代阿美族青年從事拉電話線的工作。
O rarong ko loma' niyam i 'ayaw.,從前我們的房子是茅草做的。
Mafaheka' kami to nikatayni no miso.,你的前來令我們驚奇。
"Sakenikeni' sa to mata kora kapah tora kay^ing, mato mipainiay to olah nira.",那青年一直對那小姐眨眼，好像在示愛。
O misacekemay ko nonol no mako i matini.,我的膝蓋現在有陣陣刺痛的感覺。
Ma fana' a misakoreng ci ama ako.,我的阿嬤很會製作陶器。
Pakafilo kiso tonini a demak haw?,你能勝任這件事嗎？
"Miketon ci mama i tamiyanan, “kangodo to mato'asay” saan.",爸爸規定我們，要尊敬長輩。
Samatiyaen o no fa'inay ko faloco' a milifet to karetengay a tayal.,粗重的工作要像男人的心一樣挑戰。
O kakaya' ko wikol nina kolong.,這頭牛的尾巴很長。
Mapafi'ikay no to'as kina wawa tahanini.,這孩子得甲狀線是源自遺傳。
O miyakiway ko tayal nira.,他的職業是打棒球的。
O lihwayay ko fodoy a mafoti.,要穿寬鬆的衣服睡覺。
Adihay ko foting i kalo'alo'alo no Kalingko.,花蓮各條河流都有豐富的魚類。
O 'amelikay ko kalotayal ninian a kaying a miherek.,這個小姐的任何工作都很快速完成。
Tada'arenim ko pipatenas ni kaka to sinafel.,姐姐菜中放醋太多太酸了。
Mipatahka kami to lafang anocila.,我們明天要宴請客人。
Copcop han no ina ko pising no dipot nira.,媽媽吻她嬰孩的臉龐。
Karafawo ko nipalomaan a sinafel.,種植的菜容易長蟲。
I cowa ko pipatiyaman nira?,她的店面在那裡？
Mafohad no waco ko tolok i nakohikohan.,雉雞在曠野被狗嚇而飛散。
Cepet hato ko foday.,請將衣服扭乾。
O safak a maemin ko panay niyam tinana mihecaan.,今年我們的稻縠都是沒有米粒的空穀米。
Malamatelangay ko fodoy ano masa'ero.,衣服天天穿不更換就
O citirengay ko sowalen.,要告訴自己本身。
Pitosoren a mitolon!,請跪下來禱告！
Piliyas to masakefengan a lalan.,請讓開。
Mi'aca ci kaka to nanges.,姐姐去買芒果。
Komimit han nira ko tangila no fa'inay nira a mikapo'i.,她捏著她丈夫的耳朵責罵。
Maolah kako a misoped to payci.,我喜歡收集硬幣。
Halikamaya kako yo kaemang ho.,我小時候很喜歡吃毛柿子。
Misamelemelet to mata kora wawa i takowanan.,那小孩對我眨眨眼。
"Fangcal ko kimad no fokesi anini, macocok ko faloco' ako.",牧師今天的道非常生動，使我非常感動。
O citolakoay ko ci kaka ako.,我哥哥有卡車。
Ci'adingo kako i laeno no cidal.,我在太陽底下有影子。
Papiceleden ni ina ci mama to niketosan a hafay.,媽媽囑咐爸爸綁束收割的小米穗。
'Acaw han nira mama ko nanom i tefon.,那個長輩在水井裡汲水。
Maenep kako a mitengil to radiw ni Langih.,我被Langih的歌聲迷住。
Da'ad mato sanay kako to tamako iso.,我好像被你的菸嗆住。
Macicih no waco ko koco ako.,狗弄壞我的鞋子。
"Ciker han no miso ko loma' i, maan hanto no mako a micomod?",你把家裡鎖住
Nani tini o lokelon to ko rakat no mita a taloma'.,從這個地方起回家的路都是走下坡的。
Colcolen a papicakay to nanom i patiyamay ko fafahi iso.,去使喚你的太太去商店裡買水。
O ma'alaway no kapah ko katayalan no mato'asay.,老年人的工作都被年青人搶走了。
Mafangad ni mama ko nipalomaan ni ina a falo.,爸爸將媽媽種的花連根拔起。
Matofelalotong ko kalang a nenengen.,螃蟹看起來很像蜘蛛。
Adihay ko kapaysinan no 'Amis.,阿美族有很多禁忌。
Tosa ko 'aciyos nira fafahiyan.,那位女生有兩個髮旋。
I dangahen mi'id'id to 'ayam!,在大圓鍋鍋裡烤雞！
Maolah kako a mi'ocekoy a misafaloco'.,我喜歡低頭思考。
Sacidalan saan ci mama a maomah.,爸爸曝曬在大太陽下作農。
Minanam ko safa no mako a minafoy.,我妺妺在練習爬行。
Tadacai ko lengaw no rorang i pala ni mama ako.,構樹在我爸爸的田裡亂長。
I Tayto ko kalasofitayan no mako.,我在台東入伍。
Matayo cira a dademak.,她做事很散慢。
Papicadiwayen ni mama nira ci Kacaw a mifoting.,他的父親吩咐Kacaw三角網抓魚。
O cakil a maemin ko lalan ita i lotok.,我們山上的路都是險陡小徑。
Ciraheker ko faloco' ni Toray a malaising ko wawa nira.,Toray的小孩當醫生他感到心滿意足。
O ni'ad'adan no safa no mako ko nipatelian a siyasing i hikidasi.,抽屜裡的相片被妹妹掘翻過。
Papikoracen ko salikaka no miso to faloco' naira.,請你們的弟兄姐妹潔淨心靈。
Micodaday ko safa i matini.,妹妹現正在讀書。
Papicepcepen to sapaiyo ko wawa iso.,讓你的孩子吸吮藥水。
O misa'adipelay ko tayal ni mama no mako ano cila.,明天我的爸爸的工作是建置籬笆。
Caay ka cikoco ciira a comikay.,他没穿鞋子跑步。
Papidadimawen ni ina kako a papi'afofo to safa ako.,媽媽請我推動搖籃輕搖促使妹妹睡覺。
Kara'esos ko halikaenay to fonga.,愛吃地瓜的人很會放屁。
Pa'afalaen no mako ko kapah a mikowit to pawti i omah.,我協
O dodoh no 'awol to sapisolot ni mama to nanom.,爸爸用竹管引水。
O masa'opoay kami i kiyokay a milihay.,我們在教會裡聚集做禮拜。
Nanay tahada'oc ko kalawidang ita.,但願我們的友誼直到永遠。
O pisasota'an no niyam itira.,那裡是我們造土之地。
Mi'asisiw kita anocila.,我們明天撿收稻草。
Loloden ko sikal!,請把竹蓆捲收起來！
Nani tokos kita o lokelong to ko rakat ita.,我們自山頂之後就走下坡了。
Ma'amelas kina tamdaw yo kapah ho ciira.,這個人年輕時很風流。
Mipodac ci ina to lingko.,媽媽在削蘋果皮。
O dengan ci Panay ko mafana'ay to 'imi no kesip nira.,只有Panay知道他口哨的意涵。
O misanga'n to falako koni a cokap.,這個鞋子是皮革製成的。
Tenged san kiso a maro' i tini saw?,你這麼一人坐在這裏發呆呢？
Mico'a'ang ko rakat no lonan ita i matini.,我們的船現在是逆向行駛。
Safangsis sa ko focacing no 'icep.,檳榔蕾包剛解開的嫩檳榔香味撲鼻。
Cikamaro'an kako a madakaw to cilamalay.,我坐的火車有位子。
I lawac no riyar ko pikasoyan no mako.,我在海邊撿木柴。
Tamorong han ni fayi ko 'atomo i tangal.,阿姨把水陶甕扛在頭上。
Mifonga a pakaen ci mama to fafoy.,爸爸挖地瓜養豬。
Mayasiyas ko remes nora masontolay no tosiya a tamdaw.,那個被車撞的人血流如注。
Tata'ang ko lamal i parod.,爐灶的火太大了。
Wata ko hemek ni mama to pinokay ni kaka.,爸爸是多麼高興哥哥回到家來。
Miliyok a minengneng ci mama to omah nira.,爸爸環繞田看察。
Malepel iso ci Kolas haw? Hacikay ciira i!,你能追上Kolas嗎？他跑步跑得那麼快！
O malali'opay to kako I honi.,我剛剛已經洗臉了。
O papamatangen ho konini a sera.,那是即將要開墾的地。
Pa'araparen no wawawawa a misalama to lamay i palapalaan.,孩子們喜歡在田裡玩火來散發星火。
Kohepicay kona codad.,這本書很薄。
Lolod han to ko miso to sikal no safa haw!,你要捲收妹妹的睡蓆喔！
O pisoraratan no Tafalong kinian.,這是太巴塱的聚會所。
O cimaciay ko kitakit no Taywan.,台灣是有城巿的國家。
O nisanga'an to oway ko kakoyodan ni ina.,媽媽揹的籮筐是用藤做的。
Tatahira to kami.,我們也將到達那裡。
Sanga' hato no mita kinian a 'anengan.,我們就來製作椅子。
Tosa ko fohet ma'araway ako i kilakilangan.,我看見樹上有兩隻松鼠。
Mapatayay to kora cacakelaw.,那條雨傘節已經死了。
PasiPosong ko rakat niyam.,我們朝台東的方向去。
O miramotay kako to tawho nani fakici.,我從水桶裡撿取豆腐。
Tangasa i kakeletan ko 'akong no tireng ko ta'ong nira wawa.,那個孩子的敬禮身體姿態彎到腰部。
To'as sa a nengneng ano malofa ko tireng.,如果肌肉鬆弛人看起來會很蒼老。
O ringi no pising nira kaying ato ina rira.,那位小姐和他媽媽的臉很相像。
Mafohid to koni a kilang.,這棵樹已腐壞了。
Pakanien i sapad no sito.,在學生的桌上放個紙張。
Mitatoy caira to exiw a mita'ong to liteng nira.,他們拿香拜他們的祖先。
Ci fayi ako ko mi'adawisay to kamaya i sarikoran no loma'.,我的阿姨在家裡後院摘取紅毛柿子。
Papinanam ci ina takowan to sowal no Pangcah.,媽媽叫我去學阿美語。
Aloman ko ngasaw no mita i niyaro'.,部落裡我們有很多氏族。
Sowalen ko harateng no miso!,把你的想法說出來！
Micamol kako to sa'opo no kapah no niyaro'.,我參加部落青年的聚會。
Cafool kako i matini.,我現在感覺尿急。
O nipacofelisan nira to inaan nira konian a tikami.,這封信是他回給他母親的信。
Himedan iso ko codad ako haw?,你藏了我的書嗎？
Caay to pakapa'pa' ko wadis ni akong to titi.,阿公的牙齒再也嚼不動肉了
O pa'acefelay kira misalinkaay i fiyaw ita.,我們鄰居那個磚廠是有放煙的。
Adihay ko pacefaay a kokot nira i tayring.,她向警察提出很多不實控告。
Mala'odot ca Mayaw ato kapot nira i picodadan.,Mayaw和他的同學在學校打架。
O patefoc no mato'asay i tisowanan kinian.,這是老人家對你施的小惠。
O iyo maemin ko paro no 'alofo ni ama.,阿嬤背袋裏全都是藥品。
Masadak to ko cidal.,太陽出來了。
O palalangaway ko anglis no foting.,魚腥味引來蒼蠅。
Caay kahapinang ako ko cawi nira i honi.,她剛才的回答我没有弄清楚。
O sapipatala to lafang konini.,這些是準備要招待客人的。
Macopa no kaka nira kako i honi.,剛剛她姐姐有挨近我的耳旁。
Simed han no mako ko rarom ako.,我將我的傷心處隱藏起來。
Pina'on to likelon no lalan anohoni kita.,我們要小心待會下去的路途。
Fotek sa ci faki a maro' i 'anengang.,舅舅坐在椅子上閉著眼睛(閉目養神)。
O amel nira ko ka'osian no mako a mimetmet to kamay nira.,我很討厭他握手的時侯偷偷用力或搞鬼。
Pa'afofo to 'ilo koya singsi to sito nira.,那老師把自己的過失嫁禍給他的學生。
Caenget ko tangal no mako.,我的頭很癢。
Aka pitoka to colcol no mama iso.,不要怠惰你爸爸的使喚。
Awaay ko pisacapoxan i niyaro' niyam.,我們的部落沒有育苗場。
Keped ko sowal nira.,她說話很溫和。
Taringen ko ni'al'alan no mita a fokeloh i la'ad no pala ita.,我們開挖出來的石頭堆疊在我們的邊界上。
Matekop na Mayaw ko kolafaw nora omah.,馬耀他們將田裏的田鼠一網打盡。
Iricen ko satahaf no talid!,瓶蓋要扭緊！
Papaliw a mipanay ko finawlan.,部落互相當幫工收割稻子。
Hinefa san kora wawa i sera a misalama.,那個小孩趴在地上玩。
Papicokacoken to lotok ko wawa mapolong i pihifangan.,休假時帶孩子們向上爬山。
Mamaaw! Sololen kako!,爸爸啊！原諒我吧！
I ciiraan a masiday ko payso.,錢在他那裡遺失。
Mifayo' to tamdaw kora 'icep.,那顆檳榔嚼了之後使人胸悶並冒冷汗。
Parafiyasen ako ko nanom i fanaw.,我要使池塘的水滿溢出來。
Ngatowa' saan ko foti ni mama ako.,我爸爸睡覺時張開嘴巴。
Kalamkam ciira a milicikaf.,他去魚鱗的動作很快。
O ci'afadeng ko fokes niyam a mapolong a miringo.,我們烤火時滿頭都是燒炭灰。
Macidem ko sowal nira.,他的話很尖銳。
O mapetekay ko kamay niira.,他的手是斷掉的。
Honihoni tomangic kora wawa.,那小孩經常哭泣。
Mareda' ko foti' nora wawa i fafisonan.,那小孩在嬰兒床睡得很沉。
Faeloh koni a fodoy.,這是新衣服。
O facidocidolan ko paniyaro'an no Pangcah.,阿美族的部落麵包樹林立。
O ma'alepaday ko mato'asay no mita naninaloma'an a mafolaw a tayni.,我們的祖先成群結隊的遷徙來到這裡。
Pa'angtolen no mari'angay a tamdaw ko fanaw niyam.,那個壞人去使我們的池塘有肉腐爛臭味。
Misano'alotipal a masoni ko cirot.,赤背伯勞學像烏頭翁的聲音鳴叫。
Awaay ko lakota i Taywan.,台灣没有駱駝。
O tamohong no fayifahi kiraan.,那是女生的帽子。
O mangah to ko sowal nira i matini.,他現在說的是謊話了。
Kalacoyoh no wawa iso kiso!,你要成為你的孩子的天使！
Malileng ko fongoh ako.,我頭暈。
Cidadipis ko pakaysingan no miso.,你的碗廚有蟑螂。
Em'em han nira ina ko rarom nira.,那位媽媽一直將她難過的事忍受著。
O no wawa kira mafaloday a folo'.,那個被綁起來的箭竹是孩子。
Micekiway to kadit no tangila ako ko ising.,醫生在我的耳朵裡挖取耳垢。
Mafotos ko tireng noni tamdaw.,這個人患有水腫。
Celcel han ni Mayaw koya miki'araway a tamdaw tala'a'ayaw.,Mayaw硬是闖過圍觀的大眾衝到前面。
Paropira'en kira wawa tamafana' to caayay katatodong a demak.,讓那孩子失敗才會知道什麼不對的行為。
"Ma'oningay ko fodoy no miso, faca'en hana!",你的衣服很髒，該洗了吧！
Takaraw ko 'adiping nira fa'inayan a 'ayam.,那隻公雞的雞冠很高。
Fohecalay ko cengel no cahid i kakarayan.,天上的雲是白色的。
"As, kofel sato kiso hani?",吔，你怎麼都有皺紋了呢？
Malasangay  ciira.,他喝酒醉了。
Mikalitang ci ina i padatengan.,媽媽在菜園裡採四季豆。
Ciodo'ay kira makapahay a kaying matayal.,那位漂亮的小姐戴玉石去上班。
Mafolad kira fafahian.,那位女生來月經了。
Mahaperic maemin ko panay.,所有的稻穀都被剝落了。
O aning ato radiw a cecay ko kaolahan nora wawa.,那小孩唯一感興趣的是表演和唱歌。
Saheto o makakawangay kora midangoyay i riyar.,那在海邊游泳的都是全裸的。
Aka palica'ang han ko pikasoy no miso.,砍材不要只選樹枝。
Mafohat ko sasingaran.,窗戶是開著的。
"Fa'edet ko romi'ad, kara'angliw ko hemay.",天氣很熱，飯容易發酵變臭。
O ninanayan ni Sawmah yo ka^mangan ho konini miyakiway a demak.,打棒球這件事是掃瑪小時候的期望。
O mi'angsaway to foday no mako kira ringo ni akong.,是阿公那個烤火爐使我的衣服有煙燒味。
Mitefo' ko kapah no finawlan i lotok.,部落的年青人去上山採竹筍。
O mararamoday caira.,他們是對夫妻。
Mikitata'ang to loma' ko pawirokan no 'Olalip.,屋拉力的文旦庫房比房子還大。
Papiki^ciwen no mato'asay ciira.,長者要他領唱。
Awaay matengil no mako ko mi'adetengay a tayal i Taywan.,在台灣我沒有聽過有取樹汁的工作。
Folod han kami a misakatawako a matayal.,就跟著我們一起作板模工作。
Palapaso aka kasaan to paliding no katayalan.,不要將公司的車子當成公車。
Cafi' han no mako ciira a micodad.,我迎頭趕上了他的成績。
"Mikining kita tora kapah, nawhan mapatay ciira i pipa'orip nira toya ma'alolay a wawa.",我們要紀念那位青年，因為他為了救溺水的小孩而失去生命。
Tadaadihay ko impic nora sito.,那位學生的筆真是多。
Makaen ni Aki ko foting ato hemay.,阿基吃了魚和飯。
I talokan a madiko kira waco.,那隻狗在雞舍窩著。
Loengel ko co'ong no kalokilang.,所有的樹木的新芽都很嫩。
Malafaedetay ko faloco' no mahinomay a tamdaw.,被安慰者的心感到溫暖。
I kaciferangan ko kalofican no lingking.,夏天是龍眼結實纍
Cifocod ciira to wawa no Padaka.,她有白種人的私生子。
Sienaw ko romi'ad saka 'okot saan kira mato'asay.,因為天冷所以老人將身體緊縮。
Matomes no lipahak ko faloco' no mako.,我的心充滿著快樂。
O sapirodom konini a fakici.,這個水桶是挑水用的。
Halipata ko wawa no mako.,小孩喜歡吃奶油。
Mifelih ciira to harateng no 'alomanay.,他反對眾人的想法。
Maolah micocop to nitenasan a 'adiyam ci ina.,媽媽喜歡吮吃沾盬水的生薑。
Malepel ni Mayaw ko tolok i nacila.,Mayaw昨天捉到雉雞。
Caay ka dayom ako kora demak.,我無法勝任那件事。
"Micipoh to pising kora ama, ta talakiyokay a milihay.",那祖母化完妝後才去教堂做禮拜。
Hadefek han no Amilika ko sofitay no Ilak.,美軍把伊拉克軍隊全滅。
Saromi'ad saan koya wawa a misalama to tingnaw.,那小孩整天在玩電腦。
Makapah ko 'olic no radiw no pangcah.,阿美族歌詞很優美。
Misanga' ci ina to kayap no kaka.,媽媽為哥哥製作一件豐年祭的短圍裙。
O maan kora ma'angcepay?,那個燒焦的東西是什麼？
O mamaladadipis kora fao i tira.,那隻蟲在那裡會變成一隻蟑螂。
Mapaising a maemin kora mada'atay a tamdaw.,全部被煙嗆住的人都送去就醫。
Tomireng ci Panay i tatihi ako.,Panay站在我旁邊。
Caenget ko tireng ako ano komaen to kafos.,我只要一吃到蝦身體就會癢。
Talakawcong a miseking ko wawa no mako anini.,我們的孩子今天到高中去考試。
Halikiay ko picomikay ni Kacaw.,卡照跑得快。
O tipelok kinian.,這個是紙張。
Marasmas ko 'orad anini.,今天下毛毛雨。
Hadimelen ko pidipot to wawawawa!,好好照顧孩子們！
O samatokaay ci Aki.,阿基是最懶惰的人。
Mararaway ko nisa'osian iso.,你計算錯誤。
Madiko ko waco i pa'ayaman.,狗在雞舍裡蜷曲身子伏著。
Madademak ko fenfenan no wawa.,嬰孩的頭蓋骨會動。
Malalakelal ko lawac no nanom narikoran no cedas.,洪水過後河的兩旁
Pawa'ayen kinian a 'anengang.,要製作這椅子的腳。
O sapiri'angan a macongedis ko waco.,狗曝露牙齒時就是很凶。
I sefi a micacak to hemay.,在廚房煮飯。
Kimoloay ko tilid no malonem.,鹿的紋路是圓的。
O cironongay ko fanaw no mako.,我池塘裡有鯉魚。
Liyang han nora wawa ko singsi nira.,那小孩反駁他的老師。
O nilakisan no mato'asay kinian a sowal no mita o pangcah.,我們這阿美族的話是祖先留傳下來的。
Cicokor kako talalotok a macokacok.,我有帶拐杖去爬山。
I moetepay ko lalikid no pangcah i 'ayaw.,阿美族以前的豐年祭是十月舉行的。
Fiteki sa ko kolong a komaen to rengos.,牛吃草吃到撐了。
Mipacedas ko 'orad no faliyos.,颱風的雨帶來水災。
Micalap ko fiyaw ako to omah ako.,我的鄰居越界侵佔我的土地。
O yakiw a cecay ko kaolahan no niyam a mineneng.,我們只喜歡看棒球。
"Eror han to sinpoki kora lamal, ta malaflaf.",用電風扇吹那個火才會火旺。
Tanokoco saan cira a tayni i Taypak.,他只穿鞋子來台北。
Misa'anekak kora wawa a pangiha'.,那孩子學像烏鴉鳴叫。
O latak ko kaolahan no mako.,我喜歡的是楊桃。
Macinas no pacek ko lefok nira.,他的褲子被鉄釘撕裂。
O cara ko adihayay a piliso' nira i tamiyanan.,他來拜訪給我們麻煩多。
O kalalok nira ko sakalemed nira.,他之所以很幸運來自於他很勤勞。
Hodhod hato kira ma'opicay a fodoy i parod..,用爐灶來烘烤那濕濕的衣服。
O 'oway ko sapifalod to kasoy.,用黃藤綁木柴。
"Safaw lima ho ko mihecaan nora wawa, karacoco a nengnengen.",那個孩子才15歲乳房看起來就很大。
Nga'ay to a kiwlien koya kiwli iso?,你的黃瓜可以摘了嗎？
Ngito'en no ising ko mangoheday a wadis ako.,醫生將我的蛀牙拔掉。
Pa'is'isen cimama iso a patayra i pi'is'isan.,帶你的爸爸去理髮店理髮。
Hinamen ko picodad no wawa ita I picodadan!,去察看我們小孩在學校求學的狀況！
Cai kao kakafana'an ko lahad no da'ci I lotok.,山上箭筍的成長是無法得知的。
O mapodekay ko safa ako to fa'inayan.,我男人的弟弟眼皮掉下來。
Cima ko misoniay to la^pa no paliding.,是誰開車子的喇叭聲。
Ciferang ko romi'ad anini.,今天的天氣很熱。
"Sacodahen ko faloco' namo, ta pakalowid to tawo.",你們要勇敢才能夠勝過別人。
Cikippoay kiso?,你有票嗎？
O faketaw no sayho^ konini.,這是師傅的墨線具。
O nikidaan sa ho kina pala.,這個田才剛採收過釋迦。
Parao'en no mato'asay ko pifaca' i 'ayaw.,很早以前老人常用無患子洗衣服。
Ci'icel a tomireng kina adadaay.,這個生病者有能力站立。
Mikakilim ci Idek toya nipana'an nira a 'ayam.,依塞克尋找著他那所射中的鳥。
Cekok saan kami to roroh i dadaya.,晚上的雷聲讓我們驚嚇。
Pasemoten ko pimalian ita.,讓打球的地方長草。
Kohenac san ko toda a cepeten.,鰻魚抓起來真滑。
Tangasa i tatelecan ko tangongol no nanom no 'alo.,河水深及腰。
Papitoen aca ko minanamay.,只要七位學生。
Kara'orang ko riyar.,海裡很多龍蝦。
Patapiden i mamitapiday kira mapicihay a foday.,將破損的衣服送去縫補店縫補。
"Fesoc san ko Piyoma a silamalay,caay picafer i ciyataw niyam.",普悠瑪號直行，不停靠我的車站。
"Caay kahakowa ko nipaliwalan a dateng, nikaorira, adahi to nika awa.",今天賣的菜没多少錢，但是比沒有收入好多了。
O ka'a'alaw to impic ko lengad no kacacengang naira.,互相搶筆是引起爭執開瑞。
Soped han a maemin ko nipafelian no mako a codad.,我給你的書全部收集起來。
O micidekay ko tayal niyam to no 'alomanay.,我們和大眾的工作是分開的。
O sakalapakoyoc ko maloyaay a tamdaw.,浪費會讓人貧窮。
Likoko'en ni ina ko safa ako a misapeti'.,媽媽專打弟弟的腳。
Pacawien ko licay no singsi iso.,請回答你老師問題。
To'or han to no mita ko nga'ayay a kakawaw no mato'asay.,我們就要來跟隨長輩好的作為。
Macepcep no widi ko wa'ay nira.,他的腳被水蛭吸住。
O dita' ko sapisanga' to koreng ato 'atomo.,甕與陶器是用黏土製成的。
Ta'angay ko ofang no ngoso' nira.,他的鼻孔很大。
Kiso ko mi'iwasay i rarikor no lonan anohoni.,待會兒你在船尾划槳。
Papi'adawisen ni akong ako kako to fila'.,我的阿公叫我摘取荖葉。
Ciongang! Mimaan a tayni kiso?,笨蛋！你來做什麼？
